no,idItem,title,creador,idCreador,editor,idEditor,lugar,idLugar,fecha,idioma,material,tipoContenido,tipoObjeto,relacionadoCon,objectid,parentid,format,página_física,filename
,ZAC-001,Tapa dura de álbum,,,,,,,,,,,,,zac-001,,image/jpeg,001,zac-001.jpg
,ZAC-002-pagina,[TODO] Página 002 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-002-pagina,,compound_object,002,zac-002.jpg
1,ZAC-002-estampilla,Estampilla Fabbri Hermanos,[no disponible],[no disponible],Litografia y Tipografia Carlos Fabbri (Lima),https://viaf.org/viaf/169631729/,"Lima, Perú",https://www.wikidata.org/wiki/Q2868,[no disponible],spa,papel,imagen,estampilla,,zac-002-estampilla,zac-002-pagina,record,002,
2,ZAC-002-tarjeta,Tarjeta Señorita Zoila Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,cartón,texto,tarjeta,,zac-002-tarjeta,zac-002-pagina,record,002,
3,ZAC-003-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-003-foto,,image/jpeg,003,zac-003.jpg
,ZAC-004,Página en blanco,,,,,,,,,,,,,zac-004,,image/jpeg,004,zac-004.jpg
4,ZAC-005-foto,Fotografía de Andrés A. Cáceres,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-005-foto,,image/jpeg,005,zac-005.jpg
5,ZAC-005/006-recorte1,Intelectuales latino americanos,Saint Just,[no disponible],América Literaria,[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1903,spa,papel,texto,recorte,,zac-005-006-recorte1,,image/jpeg,005/006,zac-005-006.jpg
6,ZAC-006-recorte2,Nocturna,[no disponible],[no disponible],América Literaria,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-006-recorte2,,image/jpeg,006,zac-006.jpg
,ZAC-007-pagina,[TODO] Página 007 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-007-pagina,,compound_object,007,zac-007.jpg
7,ZAC-007-recorte1,Americanismo,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906,spa,papel,texto,recorte,,zac-007-recorte1,zac-007-pagina,record,007,
8,ZAC-007-recorte2,Sentimientos,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,Penumbras,[no disponible],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,[no disponible],spa,papel,texto,recorte,,zac-007-recorte2,zac-007-pagina,record,007,
9,ZAC-007/008-tarjeta,Tarjeta de invitación a banquete,[no disponible],[no disponible],[no disponible],[no disponible],"Roma, Italia",https://www.wikidata.org/wiki/Q220,1893-03-02,fra,cartón,texto,tarjeta,,zac-007-008-tarjeta,,image/jpeg,007/008,zac-007-008.jpg
10,ZAC-009-carta,Carta de Alfredo Palacios a Zoila Aurora Cáceres,"Palacios, Alfredo Lorenzo, 1878-1965",https://www.wikidata.org/wiki/Q2880118,[no aplica],[no aplica],[no disponible],[no disponible],1906-02,spa,papel,texto,carta,,zac-009-carta,,image/jpeg,009,zac-009.jpg
,ZAC-010-pagina,[TODO] Página 010 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-010-pagina,,compound_object,010,zac-010.jpg
11,ZAC-010-recorte1,Condiccion [sic] juridica de la mujer,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-010-recorte1,zac-010-pagina,record,010,
12,ZAC-010-recorte2,Espíritu burlón,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,1899,spa,papel,texto,recorte,"ZAC-019-recorte2, ZAC-033-recorte, ZAC-222-recorte",zac-010-recorte2,zac-010-pagina,record,010,
